"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 22, 2020","1,761.12","1,774.43","1,777.32","1,755.30","1.07B","-1.56%"
"Dec 21, 2020","1,789.05","1,798.16","1,804.22","1,779.10","1.04B","-0.23%"
"Dec 18, 2020","1,793.24","1,791.09","1,796.84","1,787.19","1.30B","0.04%"
"Dec 17, 2020","1,792.58","1,786.81","1,794.21","1,781.03","1.14B","0.32%"
"Dec 16, 2020","1,786.83","1,792.92","1,796.82","1,784.70","1.11B","0.27%"
"Dec 15, 2020","1,782.05","1,787.82","1,790.57","1,778.65","1.12B","-0.47%"
"Dec 14, 2020","1,790.52","1,785.07","1,804.84","1,784.99","1.15B","0.48%"
"Dec 11, 2020","1,782.01","1,779.01","1,784.81","1,771.42","1.28B","0.33%"
"Dec 10, 2020","1,776.21","1,775.45","1,780.63","1,771.87","1.18B","-0.18%"
"Dec 09, 2020","1,779.42","1,759.78","1,779.76","1,759.78","1.10B","1.17%"
"Dec 08, 2020","1,758.81","1,752.11","1,762.48","1,751.63","1.03B","-0.11%"
"Dec 07, 2020","1,760.75","1,785.83","1,785.83","1,759.16","1.17B","-0.86%"
"Dec 04, 2020","1,775.94","1,770.70","1,778.02","1,768.73","1.15B","0.04%"
"Dec 03, 2020","1,775.25","1,776.08","1,783.16","1,768.86","1.23B","0.07%"
"Dec 02, 2020","1,773.97","1,778.68","1,779.73","1,769.43","1.43B","0.32%"
"Dec 01, 2020","1,768.38","1,765.55","1,772.41","1,760.83","1.33B","0.77%"
"Nov 30, 2020","1,754.92","1,789.92","1,790.30","1,753.92","2.49B","-1.77%"
"Nov 27, 2020","1,786.52","1,780.62","1,792.97","1,775.83","1.53B","0.47%"
"Nov 26, 2020","1,778.25","1,760.86","1,779.81","1,759.56","1.16B","0.60%"
"Nov 25, 2020","1,767.67","1,781.12","1,790.17","1,765.10","1.55B","0.30%"
"Nov 24, 2020","1,762.40","1,754.39","1,769.63","1,754.20","1.40B","2.03%"
"Nov 20, 2020","1,727.39","1,721.39","1,727.39","1,717.16","1.09B","0.06%"
"Nov 19, 2020","1,726.41","1,716.21","1,726.41","1,710.47","1.37B","0.33%"
"Nov 18, 2020","1,720.65","1,726.93","1,727.74","1,715.49","1.19B","-0.81%"
"Nov 17, 2020","1,734.66","1,740.36","1,740.62","1,724.35","1.37B","0.16%"
"Nov 16, 2020","1,731.81","1,717.44","1,735.73","1,716.64","1.41B","1.68%"
"Nov 13, 2020","1,703.22","1,714.72","1,717.44","1,692.99","1.33B","-1.33%"
"Nov 12, 2020","1,726.23","1,727.80","1,735.32","1,714.58","1.35B","-0.16%"
"Nov 11, 2020","1,729.07","1,719.88","1,729.35","1,715.99","168.32K","1.66%"
"Nov 10, 2020","1,700.80","1,697.39","1,716.94","1,694.31","2.07B","1.12%"
"Nov 09, 2020","1,681.90","1,671.99","1,686.51","1,670.26","1.23B","1.41%"
"Nov 06, 2020","1,658.49","1,650.46","1,663.07","1,646.20","1.23B","0.52%"
"Nov 05, 2020","1,649.94","1,629.94","1,651.79","1,628.58","1.34B","1.39%"
"Nov 04, 2020","1,627.25","1,627.64","1,635.64","1,618.55","1.30B","1.20%"
"Nov 02, 2020","1,607.95","1,592.16","1,616.18","1,591.49","1.19B","1.81%"
"Oct 30, 2020","1,579.33","1,604.58","1,604.58","1,577.45","1.31B","-1.96%"
"Oct 29, 2020","1,610.93","1,595.01","1,614.81","1,594.92","1.01B","-0.10%"
"Oct 28, 2020","1,612.55","1,606.34","1,614.60","1,602.36","1.18B","-0.31%"
"Oct 27, 2020","1,617.53","1,608.77","1,617.53","1,596.76","945.34M","-0.09%"
"Oct 26, 2020","1,618.98","1,623.13","1,628.81","1,616.46","808.39M","-0.39%"
"Oct 23, 2020","1,625.32","1,625.65","1,628.47","1,614.97","967.67M","0.34%"
"Oct 22, 2020","1,619.79","1,627.92","1,628.27","1,617.26","863.17M","-1.09%"
"Oct 21, 2020","1,637.60","1,633.03","1,645.34","1,632.66","943.31M","0.73%"
"Oct 20, 2020","1,625.74","1,631.40","1,636.68","1,623.28","923.69M","-0.75%"
"Oct 19, 2020","1,637.98","1,626.79","1,641.35","1,626.79","862.59M","1.25%"
"Oct 16, 2020","1,617.69","1,627.64","1,628.01","1,615.60","917.58M","-0.86%"
"Oct 15, 2020","1,631.79","1,639.61","1,641.78","1,628.96","88.83K","-0.74%"
"Oct 14, 2020","1,643.90","1,641.65","1,645.44","1,637.83","96.74K","-0.32%"
"Oct 13, 2020","1,649.10","1,650.51","1,651.10","1,640.48","870.81M","0.35%"
"Oct 12, 2020","1,643.35","1,645.03","1,646.62","1,637.50","850.07M","-0.24%"
"Oct 09, 2020","1,647.38","1,656.90","1,657.39","1,643.12","1.01B","-0.49%"
"Oct 08, 2020","1,655.47","1,651.16","1,660.49","1,645.87","1.03B","0.55%"
"Oct 07, 2020","1,646.47","1,635.31","1,648.15","1,634.31","932.03M","0.04%"
"Oct 06, 2020","1,645.75","1,644.72","1,647.32","1,637.44","989.71M","0.52%"
"Oct 05, 2020","1,637.25","1,626.85","1,642.43","1,626.85","104.65K","1.74%"
"Oct 02, 2020","1,609.22","1,633.02","1,638.80","1,603.32","1.48B","-1.00%"
"Oct 01, 2020","1,625.49","1,625.49","1,625.49","1,625.49","-","0.00%"
"Sep 30, 2020","1,625.49","1,650.32","1,654.18","1,625.49","1.44B","-1.97%"
"Sep 29, 2020","1,658.10","1,650.71","1,665.90","1,645.48","1.14B","-0.23%"
"Sep 28, 2020","1,661.93","1,646.28","1,661.93","1,641.15","1.46B","1.69%"
"Sep 25, 2020","1,634.23","1,634.72","1,636.77","1,629.34","1.27B","0.48%"
"Sep 24, 2020","1,626.44","1,634.61","1,636.48","1,624.50","1.25B","-1.08%"
"Sep 23, 2020","1,644.25","1,638.82","1,646.62","1,632.80","1.52B","-0.13%"
