"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 09, 2021","15,109.30","15,164.15","15,257.10","15,064.30","713.28B","-0.04%"
"Feb 08, 2021","15,115.80","15,064.30","15,159.90","15,041.05","671.24B","1.28%"
"Feb 05, 2021","14,924.25","14,952.60","15,014.65","14,864.75","935.63B","0.19%"
"Feb 04, 2021","14,895.65","14,789.05","14,913.70","14,714.75","884.69B","0.71%"
"Feb 03, 2021","14,789.95","14,754.90","14,868.85","14,574.15","869.48B","0.97%"
"Feb 02, 2021","14,647.85","14,481.10","14,731.70","14,469.15","914.97B","2.57%"
"Feb 01, 2021","14,281.20","13,758.60","14,336.35","13,661.75","870.53B","4.74%"
"Jan 29, 2021","13,634.60","13,946.60","13,966.85","13,596.75","753.21B","-1.32%"
"Jan 28, 2021","13,817.55","13,810.40","13,898.25","13,713.25","637.87B","-1.07%"
"Jan 27, 2021","13,967.50","14,237.95","14,237.95","13,929.30","660.71B","-1.91%"
"Jan 25, 2021","14,238.90","14,477.80","14,491.10","14,218.60","618.63B","-0.93%"
"Jan 22, 2021","14,371.90","14,583.40","14,619.90","14,357.75","776.75B","-1.50%"
