"","Date","Price","Open","High","Low","Vol.","Change..","date","new_cases","new_deaths","location","new_vaccinations","new_tests","population","population_density","Price_mul30"
"137","Aug 27, 2021",7488.3,"7,491.20","7,494.50","7,465.00","756.50M","-0.04%",2021-08-27,1119,2,"Australia",315575,201823,25788217,3.202,224649
"136","Aug 30, 2021",7504.5,"7,488.30","7,528.30","7,476.00","648.07M","0.22%",2021-08-30,1257,3,"Australia",276585,219520,25788217,3.202,225135
"135","Aug 31, 2021",7534.9,"7,504.50","7,555.90","7,504.50","806.31M","0.41%",2021-08-31,1225,6,"Australia",333975,210646,25788217,3.202,226047
"134","Sep 01, 2021",7527.1,"7,534.90","7,534.90","7,462.20","618.48M","-0.10%",2021-09-01,1467,7,"Australia",329845,266169,25788217,3.202,225813
"133","Sep 02, 2021",7485.7,"7,527.10","7,527.10","7,437.20","631.41M","-0.55%",2021-09-02,1648,13,"Australia",300673,203243,25788217,3.202,224571
"132","Sep 03, 2021",7522.9,"7,485.70","7,539.00","7,485.70","586.72M","0.50%",2021-09-03,1741,4,"Australia",311513,235695,25788217,3.202,225687
"131","Sep 06, 2021",7528.5,"7,522.90","7,528.50","7,440.10","807.64M","0.07%",2021-09-06,1466,8,"Australia",258277,206705,25788217,3.202,225855
"130","Sep 07, 2021",7530.3,"7,528.50","7,536.90","7,487.80","591.48M","0.02%",2021-09-07,1696,8,"Australia",293861,172589,25788217,3.202,225909
"129","Sep 08, 2021",7512,"7,530.30","7,530.30","7,476.30","688.88M","-0.24%",2021-09-08,1725,6,"Australia",310741,203949,25788217,3.202,225360
"128","Sep 09, 2021",7369.5,"7,512.00","7,512.00","7,344.30","740.25M","-1.90%",2021-09-09,1870,10,"Australia",318262,240435,25788217,3.202,221085
"127","Sep 10, 2021",7406.6,"7,369.50","7,430.00","7,369.50","599.12M","0.50%",2021-09-10,2075,8,"Australia",302779,200659,25788217,3.202,222198
"126","Sep 13, 2021",7425.2,"7,406.60","7,436.80","7,389.40","591.65M","0.25%",2021-09-13,1578,4,"Australia",340310,220995,25788217,3.202,222756
"125","Sep 14, 2021",7437.3,"7,425.20","7,446.00","7,388.90","810.67M","0.16%",2021-09-14,1643,14,"Australia",301560,187043,25788217,3.202,223119
"124","Sep 15, 2021",7417,"7,437.30","7,437.30","7,378.90","783.02M","-0.27%",2021-09-15,1856,12,"Australia",305082,223742,25788217,3.202,222510
"123","Sep 16, 2021",7460.2,"7,417.00","7,487.60","7,417.00","908.93M","0.58%",2021-09-16,1800,13,"Australia",301520,223818,25788217,3.202,223806
"122","Sep 17, 2021",7403.7,"7,460.20","7,460.20","7,376.10","1.61B","-0.76%",2021-09-17,1856,7,"Australia",337449,331422,25788217,3.202,222111
"121","Sep 20, 2021",7248.2,"7,390.40","7,390.40","7,233.60","721.06M","-2.10%",2021-09-20,1582,11,"Australia",320356,203725,25788217,3.202,217446
"120","Sep 21, 2021",7273.8,"7,248.20","7,285.90","7,191.70","740.27M","0.35%",2021-09-21,1659,8,"Australia",331055,194751,25788217,3.202,218214
